No.,Kode  Saham,Nama  Penerbit  Efek,ISSI
455,OKAS,Ancora Indonesia Resources Tbk,Ya
456,OLIV,Oscar Mitra Sukses Sejahtera Tbk,Tidak
457,OMED,Jayamas Medica Industri Tbk,Ya
458,OMRE,Indonesia Prima Property Tbk,Ya
459,PACK,Abadi Nusantara Hijau Investama Tbk,Tidak
460,PADA,Personel Alih Daya Tbk,Ya
461,PALM,Provident Investasi Bersama Tbk,Ya
462,PAMG,Bima Sakti Pertiwi Tbk,Ya
463,PANI,Pantai Indah Kapuk Dua Tbk,Ya
464,PANR,Panorama Sentrawisata Tbk,Ya
465,PART,Cipta Perdana Lancar Tbk,Ya
466,PBID,Panca Budi Idaman Tbk,Ya
467,PBSA,Paramita Bangun Sarana Tbk,Ya
468,PCAR,Prima Cakrawala Abadi Tbk,Ya
469,PDES,Destinasi Tirta Nusantara Tbk,Ya
470,PDPP,Primadaya Plastisindo Tbk,Ya
471,PEHA,Phapros Tbk,Ya
472,PEVE,Penta Valent Tbk,Ya
473,PGAS,Perusahaan Gas Negara Tbk,Ya
474,PGEO,Pertamina Geothermal Energi Tbk,Ya
475,PGJO,Bahtera Bumi Raya Tbk,Tidak
476,PGLI,Pembangunan Graha Lestari Indah Tbk,Ya
477,PGUN,Pradiksi Gunatama Tbk,Ya
478,PICO,Pelangi Indah Canindo Tbk,Ya
479,PIPA,Multi Makmur Lemindo Tbk,Ya
480,PJAA,Pembangunan Jaya Ancol Tbk,Ya
481,PJHB,Pelayaran Jaya Hidup Baru Tbk,Ya
482,PKPK,Paragon Karya Perkasa Tbk,Ya
483,PLAN,Planet Properindo Jaya Tbk,Tidak
484,PLIN,Plaza Indonesia Realty Tbk,Ya
485,PMJS,Putra Mandiri Jembar Tbk,Ya
486,PMUI,Prima Multi Usaha Indonesia Tbk,Ya
487,PNBS,Bank Panin Dubai Syariah Tbk,Ya
488,PNGO,Pinago Utama Tbk,Ya
489,PNSE,Pudjiadi & Sons Tbk,Ya
490,POLI,Pollux Hotels Group Tbk,Ya
491,POLU,Golden Flower Tbk,Ya
492,PORT,Nusantara Pelabuhan Handal Tbk,Ya
493,POWR,Cikarang Listrindo Tbk,Ya
494,PPGL,Prima Globalindo Logistik Tbk,Tidak
495,PPRE,PP Presisi Tbk,Ya
496,PPRI,Paperocks Indonesia Tbk,Ya
497,PPRO,PP Properti Tbk,Ya
498,PRAY,Famon Awal Bros Sedaya Tbk,Ya
499,PRDA,Prodia Widyahusada Tbk,Ya
500,PRIM,Royal Prima Tbk,Ya
501,PSAB,J RESOURCES ASIA PASIFIK Tbk,Ya
502,PSAT,Pancaran Samudera Transport Tbk,Ya
503,PSDN,Prasidha Aneka Niaga Tbk,Ya
504,PSGO,Palma Serasih Tbk,Ya
505,PSKT,Red Planet Indonesia Tbk,Ya
506,PSSI,IMC Pelita Logistik Tbk,Ya
507,PTBA,Bukit Asam Tbk,Ya
508,PTIS,Indo Straits Tbk,Ya
509,PTMP,Mitra Pack Tbk,Ya
510,PTMR,Master Print Tbk,Ya
511,PTPP,PP (Persero) Tbk,Ya
512,PTPS,Pulau Subur Tbk,Ya
513,PTPW,Pratama Widya Tbk,Ya
514,PTSN,Sat Nusapersada Tbk,Ya
515,PTSP,Pioneerindo Gourmet International Tbk,Ya
516,PURA,Putra Rajawali Kencana Tbk,Ya
517,PURI,Puri Global Sukses Tbk,Ya
